"country","year","production"
"IRQ",2002,112384.049685856
"IRQ",2003,78357.6236965634
"IRQ",2004,102693.433747923
"IRQ",2005,94817.3035755999
"IRQ",2006,98622.3538699319
"IRQ",2007,102595.537041316
"IRQ",2008,114092.86246726
"IRQ",2009,118079.950806097
"IRQ",2010,118547.814096515
"IRQ",2011,133562.046096424
"IRQ",2012,148227.137936041
"IRQ",2013,149706.871372392
"IRQ",2014,156405.23521395
"IRQ",2015,175832.919618835
"IRQ",2016,225406.853802421
"IRQ",2017,228226.171514554
"KWT",1971,155959.721012096
"KWT",1972,167981.406097765
"KWT",1973,154001.075518481
"KWT",1974,129832.983267914
"KWT",1975,106368.15826623
"KWT",1976,108613.401084529
"KWT",1977,99318.5521213645
"KWT",1978,109121.453935531
"KWT",1979,127690.007503629
"KWT",1980,85105.0138285603
"KWT",1981,57609.149866304
"KWT",1982,42062.3561448994
"KWT",1983,53845.8659949222
"KWT",1984,59903.9156254834
"KWT",1985,54641.8075441505
"KWT",1986,57271.4855983966
"KWT",1987,62290.5731250639
"KWT",1988,73871.7046511391
"KWT",1989,88296.777325433
"KWT",1990,44875.6496338015
"KWT",1991,9292.26662612739
"KWT",1992,54679.3532353915
"KWT",1993,96888.8263658154
"KWT",1994,103338.541372712
"KWT",1995,103369.866112423
"KWT",1996,103593.759916974
"KWT",1997,103380.834028577
"KWT",1998,105672.563784961
"KWT",1999,96436.7137683737
"KWT",2000,102491.976592778
"KWT",2001,100265.164872543
"KWT",2002,89940.3732500555
"KWT",2003,108560.485831334
"KWT",2004,118185.303734436
"KWT",2005,132540.056780461
"KWT",2006,136211.878395256
"KWT",2007,132602.80572808
"KWT",2008,138204.661862447
"KWT",2009,116491.316230836
"KWT",2010,119084.560687575
"KWT",2011,136933.053676822
"KWT",2012,153745.913783581
"KWT",2013,150477.900632885
"KWT",2014,147639.235656518
"KWT",2015,147231.162484977
"KWT",2016,152171.771732774
"KWT",2017,142799.413596346
"VEN",1971,197993.958601898
"VEN",1972,179601.71293296
"VEN",1973,188592.210624394
"VEN",1974,166521.225380795
"VEN",1975,130524.105590653
"VEN",1976,128171.702159574
"VEN",1977,125036.175856612
"VEN",1978,121337.890160696
"VEN",1979,132391.629966277
"VEN",1980,122478.121923154
"VEN",1981,119134.724496724
"VEN",1982,107116.778175597
"VEN",1983,101937.079888103
"VEN",1984,102313.055537186
"VEN",1985,94193.4293389818
"VEN",1986,100610.590049723
"VEN",1987,102240.207872975
"VEN",1988,106338.621023378
"VEN",1989,106163.58171267
"VEN",1990,118953.693417813
